REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGTITUDE,RADIUSSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
160010115, , , , ,-7910572.296412711,5208732.013432036, , , , ,1/1/2016,2:36:37 AM, , ,05/06/2017 14:44:53, , ,mv
160010124, , , , ,-7918301.542616961,5214461.86458473, , , , ,1/1/2016,2:51:45 AM, , ,05/06/2017 14:44:53, , ,ped
160010146, , , , ,-7912789.112752369,5203001.111919347, , , , ,1/1/2016,4:07:00 AM, , ,05/06/2017 14:44:53, , ,mv
160010147, , , , ,-7911711.76272047,5210923.217904758, , , , ,1/1/2016,4:13:50 AM, , ,05/06/2017 14:44:53, , ,mv
160010167, , , , ,-7911501.368882873,5207732.415574834, , , , ,1/1/2016,5:09:03 AM, , ,05/06/2017 14:44:53, , ,mv
160010180, , , , ,-7916797.393657361,5204886.848858702, , , , ,1/1/2016,6:02:48 AM, , ,05/06/2017 14:44:53, , ,mv
160010198, , , , ,-7910826.438810191,5203956.1218792675, , , , ,1/1/2016,7:52:15 AM, , ,05/06/2017 14:44:53, , ,mv
160010388, , , , ,-7922815.102690664,5213904.208384862, , , , ,1/1/2016,6:23:29 PM, , ,05/06/2017 14:44:53, , ,mv
160010462, , , , ,-7911834.214160344,5207476.812452007, , , , ,1/1/2016,10:07:09 PM, , ,05/06/2017 14:44:53, , ,mv
160010473, , , , ,-7910271.956426552,5207656.546790527, , , , ,1/1/2016,10:59:20 PM, , ,05/06/2017 14:44:53, , ,mv
160020120, , , , ,-7918367.109797037,5201690.104777998, , , , ,1/2/2016,11:18:00 AM, , ,05/06/2017 14:44:53, , ,mv
160020120, , , , ,-7918367.109797037,5201690.104777998, , , , ,1/2/2016,11:29:00 AM, , ,05/06/2017 14:44:53, , ,mv
160020125, , , , ,-7912266.467743095,5204246.089587014, , , , ,1/2/2016,11:38:00 AM, , ,05/06/2017 14:44:53, , ,mv
160020134, , , , ,-7911459.958032297,5214468.794068825, , , , ,1/2/2016,12:09:57 PM, , ,05/06/2017 14:44:53, , ,bike
160020151, , , , ,-7910389.509808828,5203257.7980682235, , , , ,1/2/2016,1:40:00 PM, , ,05/06/2017 14:44:53, , ,mv
160020163, , , , ,-7911704.972231533,5205291.82263058, , , , ,1/2/2016,2:21:00 PM, , ,05/06/2017 14:44:53, , ,mv
160020251, , , , ,-7906200.112092314,5218239.637744517, , , , ,1/2/2016,7:30:00 PM, , ,05/06/2017 14:44:53, , ,mv
160020259, , , , ,-7916921.292250616,5203793.6114224065, , , , ,1/2/2016,8:07:00 PM, , ,05/06/2017 14:44:53, , ,mv
160020260, , , , ,-7913493.3198511265,5208213.835233119, , , , ,1/2/2016,8:05:00 PM, , ,05/06/2017 14:44:53, , ,mv
160030031, , , , ,-7917944.541009988,5214664.629412224, , , , ,1/3/2016,2:27:00 AM, , ,05/06/2017 14:44:53, , ,mv
160030040, , , , ,-7912603.209202744,5206786.658251338, , , , ,1/3/2016,3:30:00 AM, , ,05/06/2017 14:44:53, , ,mv
160030048, , , , ,-7913937.7072583735,5207511.283849006, , , , ,1/3/2016,4:39:00 AM, , ,05/06/2017 14:44:53, , ,mv
160030054, , , , ,-7911717.996611955,5214429.326205503, , , , ,1/3/2016,4:59:00 AM, , ,05/06/2017 14:44:53, , ,mv
160030231, , , , ,-7921437.635311589,5213951.055062191, , , , ,1/3/2016,7:07:00 PM, , ,05/06/2017 14:44:53, , ,mv
160040010, , , , ,-7906077.215374479,5215799.047682728, , , , ,1/4/2016,12:49:00 AM, , ,05/06/2017 14:44:53, , ,mv
160040088, , , , ,-7909436.726287128,5214770.683473815, , , , ,1/4/2016,9:37:00 AM, , ,05/06/2017 14:44:53, , ,mv
